rank,field,model,title,repo_no,description,prompt,image_url,author,published_at
12,广告设计,Nano Banana Pro,产品营销 - 爆裂熔岩焦糖甜点,89,一份高端食品广告提示词，描绘了金色太妃糖撞击瞬间，伴随液态金飞溅和糖晶体效果。,"一份高级 {argument name=""confectionery"" default=""金色太妃糖""} 悬浮在镜面般光滑的黑色表面上方，撞击瞬间产生巨大的 {argument name=""liquid"" default=""熔岩焦糖爆炸，液态金向外飞溅，呈现慢动作效果""}，成千上万颗闪烁的糖晶体如钻石般在空中漂浮，{argument name=""lighting"" default=""戏剧性的摄影棚灯光""}，超写实纹理，奢华甜点广告，电影级景深，微距摄影，超精细反射，16K 杰作，美食摄影奖得主。",inspiration-images/prompt-12.jpg,Snow,2026年6月15日
13,广告设计,Nano Banana Pro,产品营销 - 红色灯光时尚编辑人像,90,一张高对比度的电影感时尚人像，展现了一位身着黑色服装的女性，置身于饱和的红色摄影棚环境中。,"照片主体：{argument name=""subject"" default=""一位自信、优雅的女性，身穿黑色拉链夹克、黑色修身长裤和黑色皮靴""}，以放松且后仰的姿势坐在 {argument name=""furniture"" default=""极简摄影棚内的一把现代细金属框架椅子""} 上。她向后倚靠，双腿向前伸展，一只手放在椅扶手上，另一只手放在大腿上，神情平静从容地看向侧方。{argument name=""lighting"" default=""戏剧性的全场景红色灯光""} 照亮了整个布景，背景和地面都沐浴在浓郁饱和的红光中。高对比度电影感灯光，微妙的阴影，超逼真的细节，焦点清晰，奢华时尚编辑摄影，干净的极简构图，高端杂志封面美学，强大而精致的气场，8K 分辨率，超写实。",inspiration-images/prompt-13.jpg,Anissa,2026年6月15日
14,广告设计,Nano Banana Pro,产品营销 - 足球人像混合创作,91,一个创意提示词，用于生成将球员面部与足球缝合在一起的混合人像，呈现逼真的皮革与皮肤质感。,"超写实照片级人像，{argument name=""player name"" default=""[球员全名]""} 的半张脸与半个经典足球无缝缝合，皮肤与皮革交接处有精细的缝线细节，高度还原的皮肤纹理、毛孔、汗水，逼真的足球板块与接缝，戏剧性的电影级光效，焦点清晰，白色无缝背景，9:16 比例，专业摄影棚摄影，4k 分辨率。",inspiration-images/prompt-14.jpg,Shams,2026年6月14日
15,logo 设计,GPT Image 2,产品营销 - Oakley 滑板风格太阳镜广告,99,一个混合媒介眼镜品牌广告，将手绘滑板卡通形象与写实的太阳镜及大胆的极简主义文案相结合。,"为 {argument name=""brand name"" default=""OAKLEY""} 创建一张极简主义风格的竖版品牌广告海报。在干净的白色摄影棚背景上，绘制一个黑白水墨风格的卡通滑板少年，他有着刺猬头、大头、坏笑的表情、交叉的双臂，穿着 T 恤、长短裤、袜子和运动鞋。他自信地站立，一只脚着地，另一只脚踩在倾斜的滑板上；在轮子附近添加少量手绘的尘土和地面涂鸦。将一副写实的黑色环绕式太阳镜放置在卡通少年的眼睛位置，通过混合媒介拼贴的方式实现视觉融合，镜片呈现光泽感，厚实的弧形镜腿向左右延伸，带有细腻的反光，并在纸面上投下柔和的阴影。在顶部中心位置，添加粗体大写的标题 {argument name=""headline text"" default=""SEE DIFFERENT.\nBE DIFFERENT.""}，使用间距宽大的黑色无衬线字体，分为两行，居中置于人物上方。在底部中心位置，放置 {argument name=""brand logo"" default=""Oakley 椭圆形 O 标志""}，其下方为品牌文字标识 {argument name=""wordmark text"" default=""OAKLEY""}，两者均为黑色。风格：高端眼镜平面广告，高对比度单色调，俏皮的手绘插画与写实产品摄影相结合，留白充足，构图简洁，无额外文字，无边框，无水印。",inspiration-images/prompt-15.jpg,Ilia Kitchenko,2026年6月14日
16,logo 设计,GPT Image 2,产品营销 - VANTORÉ 奢华腕表广告,102,一款高端方形时尚广告，展示了一位身着西装的男性模特和奢华瑞士腕表品牌，适用于高端腕表营销活动。,"目标：为 {argument name=""brand name"" default=""VANTORÉ""} 创作一则奢华瑞士腕表广告，画面包含一位时尚的男性模特，呈现高端时尚姿态。

画布：1:1 正方形奢华杂志广告，采用暖米色与炭灰色调，高端编辑摄影与精致平面设计相结合。构图采用左右分割：左侧为模特，右侧为品牌标识与腕表细节。

布局：左侧展示一位英俊的男性模特，背景为极简主义地中海风格的米色建筑，带有高大的圆形拱门和强烈的午后阴影。他的面部被一个居中的暖棕色柔边正方形模糊处理，但深色波浪卷发清晰可见。他身着剪裁合身的 {argument name=""suit color"" default=""灰褐色""} 西装，搭配深棕色/黑色开领衬衫和同色系口袋巾，一只手插在裤兜里。另一只手整理着西装翻领，以便清晰展示左手腕上的奢华腕表。右侧为炭灰色垂直面板，配有优雅的高端排版，右下角放置腕表产品渲染图。

文字内容：在右侧面板顶部，放置一个极简的金色 V 字形字母组合 Logo，下方为大号间距的金色衬线字体品牌名“{argument name=""brand name"" default=""VANTORÉ""}”，下方以小号间距大写字母标注“SWISS MADE”。居中标题为“{argument name=""headline text"" default=""TIME REDEFINED""}”，采用大号白色高对比度衬线大写字母，分为两行排列。下方添加一条细金色分割线。线下方书写小号间距金色大写字母“CRAFTED FOR LEADERS”，随后是小号斜体白色字体的“Swiss Made Collection”。再下方书写极小号间距金色大写字母“PRECISION • PRESTIGE • PERFORMANCE”。

产品细节：包含 2 只清晰可见的腕表：一只佩戴在模特手腕上，另一只为右下角的独立产品渲染图。两款腕表均为黑色表盘、玫瑰金表壳与指针、纤细刻度及黑色皮质表带。在独立腕表下方，书写小号金色间距大写字母“VANTORÉ HERITAGE”以及更小号的白色间距大写字母“AUTOMATIC”。

底部功能行：在左下角包含 3 个小型金色线条图标及白色标签：1 个盾牌图标标注“5 YEAR WARRANTY”，1 个水滴图标标注“5 ATM WATER RESISTANT”，以及 1 个瑞士十字图标标注“SWISS MOVEMENT”。

视觉风格：高端腕表营销活动，电影感暖阳，干练的西装剪裁，真实的织物纹理，浅景深，优雅的拱门阴影，极简布局，炭灰色背景上精致的金色与白色排版，奢华编辑风格。

约束条件：保持模特在左、排版与产品腕表在右的布局，维持简洁的奢华感，确保腕表清晰可见，不出现额外人物，除 3 个功能图标外不添加其他图标，且避免任何水印或社交媒体 UI。",inspiration-images/prompt-16.jpg,shah_zadii,2026年6月14日
17,logo 设计,GPT Image 2,产品营销 - 奢华分屏腕表广告大片,103,一款高端方形时尚广告排版，包含两位男性模特、建筑背景、奢华腕表产品特写以及优雅的品牌排版。,"为 {argument name=""brand name"" default=""VANTORÉ""} 创作一张 1:1 的奢华方形高端男士腕表广告大片。构图采用垂直分屏，呈现两种对比鲜明的建筑时尚编辑风格：左侧为暖米色石材，配有高耸拱门和斜向阳光阴影；右侧为深海军蓝现代建筑，配有垂直立柱和低矮平台。放置两位完全不同的成年男性模特，两人的面部均被柔和的矩形模糊遮罩刻意遮挡。左侧模特 1 身着浅鼠尾草绿双排扣西装，搭配金色纽扣、敞开的白色衬衫、口袋巾，左手佩戴银色链带腕表；他自信站立，一手整理西装，一手插在裤兜里。右侧模特 2 身着深酒红色高领毛衣、深色长款大衣、炭灰色百褶长裤和黑色皮鞋，左手佩戴深色表带计时码表；他姿态放松，一手插兜，一手靠近胸前。在大型衬线字体品牌名 {argument name=""brand name"" default=""VANTORÉ""} 上方居中放置品牌字母组合标志，下方配以小号字间距文本“SWISS MADE”。在画面中下部，添加优雅的白色大写衬线字体主标题：{argument name=""headline text"" default=""TIME REDEFINED""}，下方配有一条细金色分割线，以及小号字间距金色大写字母标语 {argument name=""tagline"" default=""CRAFTED FOR LEADERS""}。在底部两侧各包含一个大型腕表产品切图：左侧产品腕表标注为 {argument name=""left watch model"" default=""VERIDIAN""}，为不锈钢链带腕表，配深绿色表盘，自动机械风格，并附带文本行“AUTOMATIC”、“SWISS MOVEMENT”、“SAPPHIRE CRYSTAL”；右侧产品腕表标注为 {argument name=""right watch model"" default=""OBSIDIAN""}，为深色皮带计时码表，配海军蓝表盘，并附带文本行“CHRONOGRAPH”、“SWISS MOVEMENT”、“5 ATM WATER RESISTANT”。在底部中心，包含三个极简功能图标及标签：盾牌图标标注“2 YEAR WARRANTY”，水滴图标标注“5 ATM WATER RESISTANT”，以及类似医疗十字的加号图标标注“SWISS MOVEMENT”。采用高级时尚广告灯光，写实摄影，精致对比度，干净的留白，居中奢华排版，微妙的金色点缀，清晰的织物纹理，抛光金属腕表高光，无多余物体，无水印，无额外文本。",inspiration-images/prompt-17.jpg,shah_zadii,2026年6月14日
18,logo 设计,GPT Image 2,产品营销 - 产品设计目录排版,92,一份用于创建专业产品设计目录页面的详细提示词，包含生活方式主图以及带有正投影图的技术规格面板。,"创建一个垂直 3:4 的 {argument name=""page type"" default=""产品设计目录页面""}，并使用 {argument name=""background"" default=""温暖的中性纸质背景""}。

顶部区域 — 生活方式主图：将产品（使用上传的图片作为精确参考，保持其形态、比例、材质和特征，无需重新设计）置于中心位置，并留出充足的留白。场景设定为极简建筑室内，配有纹理灰泥墙和质感细腻的混凝土/石材地面。{argument name=""lighting"" default=""光线为侧向照射的自然阳光，柔和但投射出高对比度的阴影""}。以编辑类生活方式摄影风格渲染，高真实感，采用温暖且柔和的色彩分级。

底部区域 — 采用整洁模块化网格布局的技术规格面板：
- 左下及中心：展示正视图、侧视图和四分之三剖面/侧面图的建筑正投影线条图。线条采用柔和的红色或棕褐色，精细的技术线条粗细，配以极简的编辑类尺寸标注和结构说明。
- 右下：3-4 个源自产品实际材质（如适用，包括织物、皮革、金属、木材或塑料）的材质样本，采用方形或矩形格式，并配有简短的编辑类说明文字。

排版：极简编辑风格，仅使用细微的说明文字，无大标题，颜色为柔和的黑色或深棕色。

整体氛围：设计目录 / 产品设计期刊 — 建筑感、高端、宁静。无杂乱元素，无鲜艳色彩，无厚重的品牌标识，无装饰性图形，技术图纸中无透视畸变。",inspiration-images/prompt-18.jpg,PromptLab,2026年6月15日
19,logo 设计,GPT Image 2,产品营销 - GPT Image 2 推理海报,95,一张光泽感 3D 社交媒体海报，展示了一个立方体大脑图标，并配有醒目的文案，解释了 GPT Image 2 的“规划-搜索-生成-验证”工作流程。,"目标：为 {argument name=""product name"" default=""GPT Image 2""} 创建一张精致的竖版宣传海报，通过俏皮的 3D 玩具风格视觉效果，解释该图像模型在渲染前会进行思考。

画布：4:5 竖版社交媒体海报，深钴蓝色背景，带有微妙的径向光晕和柔和的晕影，呈现高分辨率光泽感 3D 渲染美学。

主视觉：上半部分中心是一个超现实的 3D 物体：一个圆润且富有光泽的宝蓝色立方体，右侧嵌入一个闪亮的粉色大脑半球。立方体略微倾斜，露出左前侧和顶部，带有柔和的摄影棚高光、圆角和落影。大脑应看起来像充气的糖果或硅胶，具有圆润的褶皱、明亮的粉色高光，以及在与立方体连接处散发的柔和洋红色光芒。

装饰元素：在海报周围散布 34 个小的悬浮糖果/五彩纸屑物体，避开主要文字区域。包括以下可见类型：1 个黄色星星、2 个弯曲的软糖形状、11 个短胶囊状糖粒、11 个小球体/圆点、4 个较大的光泽球体、3 个微小圆点和 2 个边缘碎片。使用粉色、黄色、薄荷绿、紫色、橙色、白色和红色，并带有柔和的阴影和光泽高光。

文字排版：使用居中的粗体白色无衬线字体。中间的大标题：“{argument name=""headline text"" default=""It reasons, then renders.""}”分为两行，采用极粗的字重、简洁的几何无衬线字体，并带有轻微的阴影以增强对比度。下方是较小的粗体副标题：“{argument name=""subtitle text"" default=""GPT Image 2 plans your image before it makes a pixel.""}”，分为两行居中排列。

指令卡片：在下方三分之一处放置一个圆角灰白色命令卡片面板，带有微妙的投影，类似于可复制的提示词框。在卡片右侧附带一个珊瑚红色的圆角矩形按钮，部分位于卡片后方，上面用深色粗体文字标注“COPY”。卡片内显示 4 行深炭灰色的等宽字体：“PLAN: composition and constraints.”、“SEARCH: facts you need, or SKIP.”、“GENERATE: the brief.”、“VERIFY: check output before showing.”

页脚：左下角添加一个微小的白色线条艺术风格狗/吉祥物图标，后接小号大写白色无衬线文字“{argument name=""footer label"" default=""GPT IMAGE 2 · PLAIN AND SIMPLE""}”。右下角添加进度文字“{argument name=""progress text"" default=""1 / 7""}”。

视觉风格：明亮的现代 3D 广告风格，光泽塑料材质，糖果色调，圆润友好的形态，强烈的对比度，清晰的排版，柔和逼真的阴影，不包含写实人物，无水印，无额外文字。",inspiration-images/prompt-19.jpg,The House of Curiosity,2026年6月14日
20,logo 设计,GPT Image 2,产品营销 - 生成式盆景展览海报,101,一张极简主义风格的日式展览海报，以写实的盆景树为核心，叠加生成式几何图形与精致的排版设计。,"目标：为一场生成式自然盆景展创作一张极简瑞士风格的展览海报，以陶瓷盆中的写实盆景树为中心，将植物摄影与精确的算法图表图形相结合。

画布：竖版海报，3:4 长宽比，米白色暖色纸张背景，留白充裕，呈现清晰的印刷设计质感。

主体：一棵成熟的盆景树，写实风格，置于中心偏下方。树干粗壮扭曲呈深褐色，根部外露，茂密的亮绿色松针状叶片呈层叠的水平状排列，土壤覆盖着苔藓，盆器为一个浅圆形灰色混凝土陶瓷盆，带有细微的污渍与阴影。盆景应呈现出如同高端产品摄影般融入设计海报的效果。

排版：使用纤细的现代无衬线大写字体，仅限黑色与深灰色。左上角的主标题为“{argument name=""headline text"" default=""BONSAI SYSTEM""}”，采用超大号纤细字体分两行排列。上方小字为“GENERATIVE NATURE”和“SERIES 01”。标题下方书写“GENERATIVE FORM”，随后是一个三行的小列表：“ALGORITHM”、“VARIATION”、“EQUILIBRIUM”。右上角书写“{argument name=""city and year"" default=""TOKYO 2026""}”。左下角书写活动日期，分三行堆叠：“{argument name=""event dates"" default=""MAY 08 / JUN 21 / 2026""}”，其中 2026 字号显著放大。下方添加“AT”和“TOKYO GENERATIVE LAB”。左侧中部添加小标语“NATURE IS THE ORIGINAL ALGORITHM.”。旁边添加竖排日文：“盆栽系統”。底部中心包含 5 个微小的编号索引标签：“01 SEED”、“02 GROWTH”、“03 FORM”、“04 BALANCE”、“05 TIME”。右下角包含“WWW.GENERATIVE-LAB.JP”。

几何布局：在盆景周围叠加一套浅灰色与黑色的精致技术图表系统。包括：盆景后方居中 1 个巨大的淡色圆环，贯穿顶部的 1 条垂直中心线，穿过叶片区域的 1 条水平线，水平线上 2 个小型黑色圆点节点，右上角叶片后方 1 个矩形网格面板，从右上角向下扫过的 1 组多条纤细弧形等高线，右下角 1 个较小的嵌套弧线角落图案，2 个由微小黑点组成的点阵块，2 个小型浅灰色方块，以及右上角网格附近 1 个狭长的实心黑色垂直矩形。

布局细节：海报应具有数学般的构图感与编辑感，盆景占据中下部区域，排版严格对齐边距。使用纤细的分隔线和短水平线作为点缀。保持干净的单色图形系统，唯一的强色彩为绿色的盆景叶片。

视觉风格：高端博物馆海报，日式设计影响，包豪斯/瑞士风格排版，生成式算法图表美学，精确的矢量叠加，微妙的纸张纹理，写实的植物与盆器，无杂乱元素。

约束：保持所有文字清晰易读，不得添加额外的植物或人物，不得添加水印，仅使用一棵盆景树和一个盆，保留稀疏的米白色背景和黑色几何设计语言。",inspiration-images/prompt-20.jpg,Roku｜AI × BizDev,2026年6月14日
21,IP 设计,Nano Banana Pro,漫画 / 故事板 - 档案回收行动人员角色设计图,73,一份全面的科幻角色设计图提示词，展示了身着战术装甲的回收行动人员的正视图、侧视图和背视图。,"全身角色设计图，正视图，侧视图，背视图，{argument name=""character role"" default=""档案回收行动人员""}，写实科幻，{argument name=""armor color"" default=""白色和深灰色""} 战术装甲，工业设计，装甲风衣，蓝色垂直面罩头盔，强化胸甲，多功能腰带，回收装备，非军事美学，未来感回收单元，高度细节，纯白背景，超写实图像，写实，真实生活。",inspiration-images/prompt-21.jpg,Cortex Visual ・ AI Movies,2026年6月13日
22,IP 设计,Nano Banana Pro,漫画 / 故事板 - 未来机动战士驾驶员,74,一张电影感十足的荷兰式倾斜镜头照片，展现了一位身着科幻驾驶服的年轻女性，画面呈现忧郁的灯光和超写实的细节。,"一张电影感十足、荷兰式倾斜、全身拍摄的照片，主角是 <<<image_1>>> 中一位 {argument name=""subject"" default=""年轻女性""}，她侧身酷飒地走着，双手正戴上一顶灰白色的机动战士驾驶员头盔，头盔配有金属黑色面罩。她穿着一套紧身且细节丰富的 {argument name=""outfit"" default=""未来感白色机动战士驾驶服""}，上面带有细微的磨损痕迹，包括划痕和污垢纹理。灯光为 {argument name=""lighting"" default=""柔和、冷色调且漫射""}，营造出一种忧郁而内省的氛围，色调以淡蓝色、纯白色和点缀的柔和灰色为主。背景是模糊的极简主义科幻室内空间，建筑风格简洁明亮。使用 35mm 镜头拍摄，景深较浅，焦点清晰地落在她的脸部和身体上，高质量数字摄影，超写实，细节复杂，柔和的电影级高光，空灵的氛围。发型凌乱自然。面罩不应反射出摄影师。慵懒地注视着镜头。",inspiration-images/prompt-22.jpg,Saki H. 咲希,2026年6月13日
23,IP 设计,Nano Banana Pro,漫画 / 故事板 - 未来感太空飞行员电影感镜头,77,一张科幻电影感肖像，展示了一位身着未来感制服、手持头盔的女性飞行员，并使用图像参考以保持一致性。,"一张电影感、荷兰式倾斜、全身镜头，主角为 {argument name=""subject"" default=""年轻女性""}，参考 <<<image_1>>>，侧身酷飒地走着，一只手拿着一个灰白色的 {argument name=""prop"" default=""机动战士飞行员头盔""}，配有金属黑色面罩。她穿着一套紧身、细节丰富的 {argument name=""outfit"" default=""未来感白色机动战士飞行服""}，带有细微的磨损痕迹，包括擦痕和污垢纹理。眼神酷飒地注视着镜头。光线柔和、冷峻且弥散，营造出忧郁和内省的氛围，色调以淡蓝、纯白和柔和的灰色为主。背景是模糊的极简主义科幻室内空间，建筑风格简洁明亮。使用 35mm 镜头拍摄，浅景深，焦点清晰地聚焦在她的脸部和身体上，高质量数字摄影，超写实，细节复杂，柔和的电影感高光，空灵的氛围。中分直长发发型。面罩不应有摄影师的倒影",inspiration-images/prompt-23.jpg,Saki H. 咲希,2026年6月12日
24,IP 设计,Nano Banana Pro,漫画 / 故事板 - 科幻机动战士驾驶员肖像,81,一张电影质感的科幻肖像，描绘了一位手持驾驶员头盔的年轻女性，侧重于超写实的纹理和忧郁的氛围。,"一张电影质感的中景特写，主角为 {argument name=""subject"" default=""年轻女性""}，如 <<<image_1>>> 所示，侧身站立，额头轻轻抵在手中所持的灰白色 {argument name=""helmet type"" default=""机动战士驾驶员头盔""} 的金属黑色面罩上。她身穿一套 {argument name=""outfit"" default=""细节丰富的未来主义白色机动战士驾驶服""}，带有细微的磨损痕迹，包括划痕和污垢纹理。光线柔和、冷峻且弥散，营造出一种忧郁而内省的氛围，色调以淡蓝、纯白和柔和的灰色为主。背景是模糊的极简主义科幻室内空间，建筑风格简洁明亮。使用 85mm 镜头拍摄，景深较浅，焦点清晰地落在她的脸部和头盔纹理上，高质量数字摄影，超写实，细节复杂，柔和的电影级高光，空灵的氛围。发型凌乱自然。面罩不应反射出摄影师。",inspiration-images/prompt-24.jpg,Saki H. 咲希,2026年6月10日
25,IP 设计,Nano Banana Pro,电商主图 - 超写实角色钥匙扣,101,一个多功能的提示词，可将任何角色转化为具有影棚灯光和简洁背景的写实产品风格钥匙扣。,"创建一个灵感源自 {argument name=""character theme"" default=""动漫、电子游戏、电影……""} 的钥匙扣，纯净白色背景，产品摄影风格，柔和的影棚灯光",inspiration-images/prompt-25.jpg,Pierrick Chevallier | IA,2026年5月29日
26,IP 设计,GPT Image 2,电商主图 - Lumina 机甲手办产品摄影,112,一个用于生成名为 Lumina 的盒装动漫风装甲仿生人模型套件的超写实玩具摄影提示词。,"创作一张超写实的工作室产品摄影图，展示名为 {argument name=""character name"" default=""LUMINA""} 的未来感收藏级模型套件。场景中需包含 4 个核心展示元素：左侧 1 个大型零售包装盒，右侧 1 个放置在黑色展示底座上的完整组装模型，前方 1 个独立黑色信息铭牌，以及底座上附带的 1 个小型名牌。该模型为一个高挑的动漫风格女性仿生人 / 哨兵单位，拥有强壮的装甲结构，采用奶油白分段式装甲板、黑色机械关节、外露活塞、圆形肩部和膝部机构、微小铆钉、刻线以及精致的金属金色点缀。她留着长长的淡金色双马尾，头部带有类似猫耳的机械鳍，面部为平滑且刻意遮挡的方形区域，无五官。让她保持直立姿势，双腿分开，双臂自然垂在身体两侧，由连接在底座上的垂直黑色后支架支撑。装甲应呈现出精致的高端塑料模型套件质感，厚重且细节丰富，而非流线型，并带有明显的独立块状板件和组装缝隙。身后的零售包装盒呈高大的长方形，正面为哑光灰色，侧面书脊为黑色。盒身正面印有该装甲模型的巨幅图像，同样具有遮挡的方形面部区域，背景带有淡淡的技术线条图。在左上角添加一个红白相间的品牌标志，文字为 ""MECHA BRIX""。在黑色侧面书脊上，印有巨大的垂直文字 ""LUMINA"" 和较小的垂直文字 ""SENTINEL UNIT""。在下侧面板上包含 3 个堆叠的小型预览缩略图，展示模型的不同视角。在包装盒正面下方添加产品标识：""18+""、""MBX-001""、""2386 PCS"" 以及一条写有 ""MECHA BRIX COLLECTOR SERIES"" 的金色条带。前方的独立铭牌应为黑色，带有银色边框和白色文字：大标题 ""LUMINA""，副标题 ""MBX-001""，以及四行规格说明：""HEIGHT: 40.2 cm""、""CLASS: MULTI-PURPOSE ANDROID""、""FRAME: LUMINITE ALLOY""、""SYSTEM: LUMINA OS VER 1.0""。底座名牌应写有 ""LUMINA""，下方附带较小文字 ""SENTINEL UNIT""。使用深炭灰色无缝工作室背景，带有柔和反射的亮黑色地板，从左上方进行戏剧性的柔光箱布光，高对比度，焦点清晰，阴影真实，呈现高端玩具摄影美学，3/4 正面视角，方形构图。避免出现额外角色、额外包装盒、额外文字、除指定虚构品牌外的其他标志，并避免展示写实的人类面孔。",inspiration-images/prompt-26.jpg,カーブミラー,2026年6月11日
27,IP 设计,Nano Banana Pro,漫画 / 故事板 - 极简主义狗狗素描剪贴画,72,一套干净、极简的剪贴画提示词，包含在纯色背景上带有粗黑色轮廓的顽皮白狗素描。,"一系列 {argument name=""subject"" default=""六只白狗""} 带有粗犷的 {argument name=""outline style"" default=""黑色轮廓""}，散布在干净明亮的白色背景上，间距均匀，构图平衡。每只狗狗都以不同的顽皮姿态呈现——奔跑、跳跃、打滚、坐着、摇尾巴和玩耍时的俯冲——捕捉到了动态瞬间，充满活力。插画风格简洁且具有卡通感，线条随性、手绘感强，线条干净，几乎没有阴影，仅使用白色形状上的黑色轮廓，呈现出清爽的图形外观。整体 {argument name=""mood"" default=""轻松愉快""}，就像儿童绘本或极简漫画中的素描一样。",inspiration-images/prompt-27.jpg,Heather Green,2026年6月14日
28,IP 设计,Nano Banana Pro,漫画 / 故事板 - 90 年代复古动画项目,67,以经典的 1990 年代动画风格创建专业的分镜项目网格，非常适合视觉叙事规划和角色参考表。,"一张整洁专业的项目表，背景为 {argument name=""background color"" default=""暖奶油色背景""}，采用 {argument name=""style"" default=""90 年代复古动画风格""}，布局为 8 个画格的网格（每行 4 个，共 2 行），并带有醒目的黑色标题栏",inspiration-images/prompt-28.jpg,"Joseph (∇, ∇)",2026年6月15日
29,电影海报设计,Nano Banana Pro,YouTube 缩略图 - 电影感义警主题海报,52,一款高对比度的电影感海报提示词，描绘了一位身着战术套装的蒙面义警，配有醒目的排版和粗犷的黑色电影美学。,一张电影感的竖版海报，描绘了一位身着碳纤维战术套装的蒙面义警。角色位于前景，呈现出粗犷的哑光黑色质感。背景采用了巨大的粗体模板风格排版，呈现深绯红色，并带有厚重的金属划痕和风化纹理。灯光低调且富有戏剧性，套装边缘的微弱轮廓光勾勒出装甲板的细节。高对比度的黑色电影美学，氛围感十足，细节锐利，8k 分辨率。极端微距特写，聚焦于一张狰狞的绿色皮肤面孔，重点刻画鼻子、紧锁的眉头和闪烁着强烈绿光的眼睛。皮肤呈现出超高细节，布满深皱纹、汗水以及粗糙的皮革质感。画面中心垂直叠加着“HULK”字样，采用大型粗体、风化效果的白色无衬线字体，并带有金属划痕质感。色调以深祖母绿和阴影为主，画面中充斥着爆炸性的绿色能量粒子和飞溅的碎片。电影级布光，粗犷的氛围，8k 分辨率，超写实，充满侵略性和力量感。,inspiration-images/prompt-29.jpg,Aijaz,2026年5月12日
30,电影海报设计,Nano Banana Pro,YouTube 缩略图 - 电影感月光天台人像拼贴,50,一个精致的多帧提示词，旨在创作一张情感丰富、具有电影质感的拼贴画，展现人物在城市天台、巨大满月下的场景，侧重于氛围感和环境质感。,"使用上传的人脸参考图作为精确的身份参考。在所有帧中保持完美的面部一致性——相同的面部结构、肤色、发型、眼型、胡须质感、鼻子、嘴唇和逼真的比例。请勿改变人物身份。创作一张超电影感的多帧夜景摄影拼贴画，主角为 {argument name=""subject"" default=""年轻男子""}，站在 {argument name=""location"" default=""天台""} 上，背景是 {argument name=""celestial body"" default=""巨大的发光满月""}。整体氛围应具有情感张力、梦幻感、内省感和电影感。构图布局（6 帧电影感网格）：1. 广角天台镜头，巨大的月亮主导多云的夜空。2. 侧面人像，仰望月亮。3. 眼睛的极度特写，反射出月光和云层。4. 电影感背影剪影，背景为城市天际线灯光。5. 手部特写，放在天台栏杆上，浅景深效果。6. 氛围感天空帧，充满星星、云层、月光和薄雾。环境：夜间城市天台，远处的城市天际线带有逼真的光斑（bokeh），明亮的月亮周围有戏剧性的云层，衣服和头发有轻微的风吹动感，湿润的天台表面带有反光高光，大气中的雾气和电影感朦胧感。光影：柔和的蓝色月光作为主光，下方有微妙的温暖城市灯光，逼真的夜间阴影，体积感月光，剪影周围的轮廓光，高动态范围电影感对比度。相机与摄影风格：使用 Sony A7R IV / ARRI Alexa 风格拍摄，85mm 人像镜头 + 35mm 电影感广角镜头，超写实，自然的皮肤质感，浅景深，锐利的眼睛细节，胶片颗粒感，HDR 夜景摄影，情绪化调色，高级电影感构图，超高细节，Unreal Engine 真实感，Netflix 风格视觉氛围。调色板：深午夜蓝，银色月光，柔和的黑色阴影，冷青色调，温暖的金色城市光斑。质量标签：杰作，最佳质量，超细节，8k，写实，电影感光影，体积雾，逼真的皮肤质感，大气透视，戏剧性构图，高对比度，情感叙事，电影剧照美学，高级电影感拼贴，高度细节的云层，逼真的反射。负面提示词：低质量，模糊的面部，糟糕的解剖结构，扭曲的眼睛，多余的手指，色彩过饱和，卡通，CGI 感，重复的帧，皮肤细节不足，噪点图像，变形的手，虚假的灯光，色彩暗淡，变形的面部，不切实际的月亮比例，文字，水印，Logo，裁剪的面部",inspiration-images/prompt-30.jpg,Professor,2026年5月14日
31,电影海报设计,Nano Banana Pro,YouTube 缩略图 - 好莱坞大片般的街市漫步,63,基于上传图片，生成一张极具电影感、好莱坞风格的照片的提示词。场景设定为繁忙的夜市街头，灯光色彩斑斓，周围人群带有动态模糊效果，强调主体的清晰对焦、自信的步态和强烈的戏剧性对比。,生成一张极具电影感、好莱坞风格的照片，主体人物使用上传图片中的面部。人物自信地穿行于夜晚熙熙攘攘的街市中，街市里灯火辉煌，霓虹闪烁，摊位熠熠生辉。镜头采用略低角度的中景拍摄，营造出一种强劲而富有戏剧性的氛围。周围的人群呈动态模糊，营造出活力与混乱感，而主体人物则清晰锐利，处于焦点之中。冷暖光线交织，倒映在地面和周围环境上。淡淡的烟雾和氛围感增强了场景的深度。人物身着时尚现代的服装，例如夹克、T 恤、牛仔裤和运动鞋。电影级灯光、戏剧性对比、鲜艳色彩、浅景深、超逼真、电影场景构图、8K、好莱坞电影质感。,inspiration-images/prompt-31.jpg,Nikhil,2026年3月24日
